s.no,BRAND_NAME,Rating,Orginal Prices,Discounted Prices,Percentage_Offer,Exchange_price,Votes
-108,SAMSUNG Crystal 4K Pro - 125 cm (50 inch) & Ultra HD (4K) LED Smart TV,4.3,"₹71,400","₹54,990",22% off,Bank Offer,"1,819 Ratings & 297 Reviews"
109,Thomson OATHPRO Series - 164 cm (65 inch) & Ultra HD (4K) LED Smart Android TV,4.4,"₹70,499","₹56,999",19% off,"No Cost EMI from ₹6,334/month","18,089 Ratings & 5,323 Reviews"
110,Hisense A73F Series - 126 cm (50 inch) & Ultra HD (4K) LED Smart Android TV,4.6,"₹59,990","₹44,999",24% off,"No Cost EMI from ₹5,000/month","1,405 Ratings & 344 Reviews"
111,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
117,TCL P615 - 139 cm (55 inch) & Ultra HD (4K) LED Smart Android TV with Dolby Audio,4.2,"₹75,990","₹40,999",46% off,"Upto ₹11,000 Off on Exchange",48 Ratings & 4 Reviews
119,Vu Premium - 108 cm (43 inch) & Full HD LED Smart Android TV,4.3,"₹40,000","₹26,999",32% off,"Upto ₹11,000 Off on Exchange","32,213 Ratings & 4,476 Reviews"
121,MOTOROLA Revou - 108 cm (43 inch) & Ultra HD (4K) LED Smart Android TV,4.4,"₹35,999","₹35,499",1% off,"Upto ₹11,000 Off on Exchange","4,907 Ratings & 887 Reviews"
122,SONY W- 800G Series - 108 cm (43 inch) & Full HD LED Smart Android TV,4.7,"₹52,900","₹46,799",11% off,"No Cost EMI from ₹3,900/month",65 Ratings & 17 Reviews
123,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹19,900","₹18,290",8% off,"No Cost EMI from ₹1,017/month","38,266 Ratings & 3,592 Reviews"
124,LG - 126 cm (50 inch) & Ultra HD (4K) LED Smart TV,4.3,"₹64,990","₹50,990",21% off,"No Cost EMI from ₹2,833/month",471 Ratings & 74 Reviews
125,Vu cinema TV - 108 cm (43 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹36,000","₹32,999",8% off,"Upto ₹11,000 Off on Exchange",303 Ratings & 49 Reviews
-126,OnePlus U1S - 139 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹59,999","₹52,999",11% off,Bank Offer,"2,506 Ratings & 355 Reviews"
127,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
128,LG UHD - 164 cm (65 inch) & Ultra HD (4K) LED Smart TV,4.4,"₹1,39,990","₹79,990",42% off,"No Cost EMI from ₹4,444/month","12,522 Ratings & 1,429 Reviews"
130,MOTOROLA ZX2 - 80 cm (32 inch) & HD Ready LED Smart Android TV,4.4,"₹21,999","₹21,499",2% off,"Upto ₹11,000 Off on Exchange","15,143 Ratings & 2,643 Reviews"
131,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
132,TCL C715 Series - 126 cm (50 inch) & QLED Ultra HD (4K) Smart Android TV,4.4,"₹1,09,990","₹47,999",56% off,"Upto ₹11,000 Off on Exchange",211 Ratings & 34 Reviews
134,MOTOROLA ZX Pro - 127 cm (50 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹54,999","₹46,999",14% off,"Upto ₹11,000 Off on Exchange","10,156 Ratings & 1,608 Reviews"
135,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
136,Nokia - 80 cm (32 inch) & HD Ready LED Smart Android TV,4.3,"₹19,999","₹18,999",5% off,"Upto ₹11,000 Off on Exchange","14,463 Ratings & 2,543 Reviews"
137,Thomson 9R Series - 139 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹46,999","₹37,999",19% off,"No Cost EMI from ₹4,222/month","5,785 Ratings & 1,682 Reviews"
-138,SAMSUNG Crystal 4K Pro - 138 cm (55 inch) & Ultra HD (4K) LED Smart TV,4.3,"₹76,900","₹57,990",24% off,Bank Offer,"1,819 Ratings & 297 Reviews"
140,TOSHIBA U- 50 Series - 108 cm (43 inch) & Ultra HD (4K) LED Smart TV,4.3,"₹39,990","₹29,999",24% off,"No Cost EMI from ₹3,334/month","1,941 Ratings & 338 Reviews"
141,Hisense A71F - 139 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹49,990","₹42,999",13% off,"No Cost EMI from ₹4,778/month","6,136 Ratings & 1,226 Reviews"
143,Vu Premium - 108 cm (43 inch) & Full HD LED Smart Android TV,4.3,"₹40,000","₹26,999",32% off,"Upto ₹11,000 Off on Exchange","32,213 Ratings & 4,476 Reviews"
144,SAMSUNG The Serif Series - 138 cm (55 inch) & QLED Ultra HD (4K) Smart TV,4.8,"₹1,63,900","₹92,990",43% off,"No Cost EMI from ₹3,875/month",13 Ratings & 0 Reviews
146,SONY X74 Bravia - 125.7 cms (50 inch) & Ultra HD (4K) LED Smart Android TV,4.7,"₹84,900","₹70,999",16% off,"No Cost EMI from ₹3,945/month",146 Ratings & 38 Reviews
147,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹19,900","₹18,290",8% off,"No Cost EMI from ₹1,017/month","38,266 Ratings & 3,592 Reviews"
148,SAMSUNG Crystal 4K - 125 cm (50 inch) & Ultra HD (4K) LED Smart TV,4.3,"₹68,400","₹51,990",23% off,Bank Offer,"1,729 Ratings & 235 Reviews"
149,Thomson OATHPRO Series - 139 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.4,"₹49,999","₹39,999",20% off,"No Cost EMI from ₹4,445/month","18,089 Ratings & 5,323 Reviews"
150,SAMSUNG Crystal 4K - 138 cm (55 inch) & Ultra HD (4K) LED Smart TV,4.3,"₹69,900","₹55,990",19% off,Bank Offer,"1,729 Ratings & 235 Reviews"
151,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
153,iFFALCON - 138.6 cm (55 inch) & QLED Ultra HD (4K) Smart Android TV,4.3,"₹1,26,990","₹47,999",62% off,"Upto ₹11,000 Off on Exchange",491 Ratings & 96 Reviews
154,Compaq ER Series - 108 cm (43 inch) & Full HD LED Smart Android TV,4.2,"₹29,999","₹23,999",20% off,"Upto ₹11,000 Off on Exchange",180 Ratings & 47 Reviews
156,Panasonic - 100 cm (40 inch) & Full HD LED Smart Android TV,4.3,"₹34,990","₹32,499",7% off,"Upto ₹11,000 Off on Exchange","8,253 Ratings & 1,163 Reviews"
158,SONY X7002G - 123 cm (49 inch) & Ultra HD (4K) LED Smart TV,4.5,"₹84,900","₹60,490",28% off,"No Cost EMI from ₹3,361/month","5,634 Ratings & 1,015 Reviews"
159,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
163,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
164,PHILIPS 6- 600 Series - 146 cm (58 inch) & Ultra HD (4K) LED Smart TV,4.2,"₹1,19,990","₹47,999",59% off,"Upto ₹11,000 Off on Exchange",729 Ratings & 92 Reviews
165,realme SLED - 139 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹69,999","₹46,999",32% off,"Upto ₹11,000 Off on Exchange","1,777 Ratings & 266 Reviews"
166,KODAK 7X Pro - 108 cm (43 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹28,999","₹26,999",6% off,"No Cost EMI from ₹4,500/month","1,943 Ratings & 495 Reviews"
168,SAMSUNG The Serif Series - 108 cm (43 inch) & QLED Ultra HD (4K) Smart TV,4.8,"₹94,900","₹64,990",31% off,"No Cost EMI from ₹2,708/month",13 Ratings & 0 Reviews
170,iFFALCON by TCL - 164 cm (65 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹1,06,990","₹58,999",44% off,"Upto ₹11,000 Off on Exchange","10,194 Ratings & 1,490 Reviews"
171,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹19,900","₹18,290",8% off,"No Cost EMI from ₹1,017/month","38,266 Ratings & 3,592 Reviews"
172,SAMSUNG - 108 cm (43 inch) & Ultra HD (4K) LED Smart TV,4.3,"₹48,900","₹38,999",20% off,"Upto ₹11,000 Off on Exchange",444 Ratings & 48 Reviews
173,Vu Masterpiece - 215 cm (85 inch) & QLED Ultra HD (4K) Smart Android TV,4.3,"₹3,50,000","₹2,79,999",20% off,"Upto ₹11,000 Off on Exchange",13 Ratings & 3 Reviews
174,MOTOROLA ZX - 164 cm (65 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹1,15,399","₹62,999",45% off,"No Cost EMI from ₹7,000/month","19,787 Ratings & 3,338 Reviews"
175,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
176,iFFALCON by TCL - 100.3 cm (40 inch) & Full HD LED Smart Android TV,4.3,"₹36,990","₹22,999",37% off,"Upto ₹11,000 Off on Exchange","14,326 Ratings & 2,327 Reviews"
177,TCL C715 Series - 139 cm (55 inch) & QLED Ultra HD (4K) Smart Android TV,4.4,"₹1,29,990","₹52,999",59% off,"Upto ₹11,000 Off on Exchange",211 Ratings & 34 Reviews
178,Coocaa - 138 cm (55 inch) & Ultra HD (4K) LED Smart Android TV with 10.0 Q,4.3,"₹73,990","₹40,499",45% off,"Upto ₹11,000 Off on Exchange","1,520 Ratings & 345 Reviews"
179,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
183,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
184,SAMSUNG The Frame 2021 Series - 108 cm (43 inch) & QLED Ultra HD (4K) Smart TV,4.3,"₹89,900","₹63,990",28% off,Bank Offer,245 Ratings & 56 Reviews
185,Hisense A71F - 146 cm (58 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹50,990","₹44,999",11% off,"No Cost EMI from ₹5,000/month","6,136 Ratings & 1,226 Reviews"
186,KODAK CA Series - 126 cm (50 inch) & Ultra HD (4K) LED Smart Android TV,4.4,"₹42,999","₹34,999",18% off,"No Cost EMI from ₹5,833/month","15,317 Ratings & 4,917 Reviews"
189,Lloyd Clara - 163 cm (65 inch) & Ultra HD (4K) LED Smart TV,4.8,"₹1,53,990","₹74,999",51% off,"Upto ₹11,000 Off on Exchange",6 Ratings & 1 Reviews
190,Infinix X1 - 80 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹17,999","₹15,999",11% off,"Upto ₹11,000 Off on Exchange","6,794 Ratings & 1,080 Reviews"
191,Vu Premium - 108 cm (43 inch) & Full HD LED Smart Android TV,4.3,"₹40,000","₹26,999",32% off,"Upto ₹11,000 Off on Exchange","32,213 Ratings & 4,476 Reviews"
192,TCL P715 - 164 cm (65 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹1,59,990","₹63,999",59% off,"Upto ₹11,000 Off on Exchange",423 Ratings & 31 Reviews
195,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹19,900","₹18,290",8% off,"No Cost EMI from ₹1,017/month","38,266 Ratings & 3,592 Reviews"
196,Vu Premium - 164 cm (65 inch) & Ultra HD (4K) LED Smart Android TV,4.4,"₹75,000","₹62,999",16% off,"Upto ₹11,000 Off on Exchange","20,311 Ratings & 3,544 Reviews"
199,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
202,OnePlus U Series - 138.8 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹59,999","₹52,999",11% off,"Upto ₹11,000 Off on Exchange",257 Ratings & 27 Reviews
203,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
204,LG - 164 cm (65 inch) & Ultra HD (4K) LED Smart TV,4.3,"₹1,19,990","₹87,990",26% off,"No Cost EMI from ₹4,889/month",471 Ratings & 74 Reviews
206,Sansui - 140 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.4,"₹53,290","₹42,999",19% off,"Upto ₹11,000 Off on Exchange",16 Ratings & 5 Reviews
207,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
208,LG - 164 cm (65 inch) & Ultra HD (4K) LED Smart TV,4.4,"₹3,49,990","₹1,99,999",42% off,"Upto ₹11,000 Off on Exchange",59 Ratings & 14 Reviews
210,SONY Bravia A8F - 163.9 cm (65 inch) & OLED Ultra HD (4K) Smart Android TV,4.3,"₹4,49,900","₹2,59,999",42% off,"No Cost EMI from ₹14,445/month",6 Ratings & 1 Reviews
212,SONY Bravia A8G - 138.8 cm (55 inch) & OLED Ultra HD (4K) Smart TV,3.9,"₹2,49,900","₹1,58,099",36% off,"No Cost EMI from ₹8,784/month",10 Ratings & 3 Reviews
217,TCL P2MUS - 138.7 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,3.9,"₹79,990","₹47,499",40% off,"Upto ₹11,000 Off on Exchange",29 Ratings & 9 Reviews
218,MOTOROLA ZX - 139 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹61,600","₹40,999",33% off,"No Cost EMI from ₹4,556/month","19,787 Ratings & 3,338 Reviews"
219,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹19,900","₹18,290",8% off,"No Cost EMI from ₹1,017/month","38,266 Ratings & 3,592 Reviews"
220,iFFALCON V2A - 163.83 cm (65 inch) & QLED Ultra HD (4K) Smart Android TV,4.3,"₹2,29,990","₹84,999",63% off,"Upto ₹11,000 Off on Exchange",117 Ratings & 34 Reviews
223,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
225,SONY Bravia A8F - 138.8 cm (55 inch) & OLED Ultra HD (4K) Smart Android TV,4.7,"₹3,29,900","₹1,64,999",49% off,"No Cost EMI from ₹9,167/month",18 Ratings & 2 Reviews
228,SONY - 163.9 cm (65 inch) & Ultra HD (4K) LED Smart Android TV,4.9,"₹2,24,900","₹1,79,999",19% off,"Upto ₹11,000 Off on Exchange",7 Ratings & 1 Reviews
231,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
232,LG Nanocell - 164 cm (65 inch) & Ultra HD (4K) LED Smart TV,5,"₹2,29,900","₹1,29,999",43% off,"No Cost EMI from ₹7,223/month",5 Ratings & 0 Reviews
233,SONY Bravia X8- 500F - 189.3 cm (75 inch) & Ultra HD (4K) LED Smart Android TV,3.7,"₹4,99,900","₹2,59,999",47% off,"No Cost EMI from ₹14,445/month",3 Ratings & 0 Reviews
235,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
236,PHILIPS 8200 Series - 126 cm (50 inch) & Ultra HD (4K) LED Smart Android TV,3.9,"₹79,990","₹46,999",41% off,"Upto ₹11,000 Off on Exchange",52 Ratings & 8 Reviews
237,MOTOROLA ZX - 127 cm (50 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹54,050","₹37,999",29% off,"Upto ₹11,000 Off on Exchange","19,787 Ratings & 3,338 Reviews"
238,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED TV,4.2,"₹18,990","₹11,999",36% off,"Upto ₹11,000 Off on Exchange","1,176 Ratings & 112 Reviews"
241,SAMSUNG The Frame 2021 Series - 125 cm (50 inch) & QLED Ultra HD (4K) Smart TV,4.3,"₹1,19,900","₹77,990",34% off,Bank Offer,245 Ratings & 56 Reviews
243,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹19,900","₹18,290",8% off,"No Cost EMI from ₹1,017/month","38,266 Ratings & 3,592 Reviews"
244,LG Nanocell - 164 cm (65 inch) & Ultra HD (4K) LED Smart TV,4.7,"₹2,64,990","₹1,64,999",37% off,"No Cost EMI from ₹9,167/month",3 Ratings & 0 Reviews
247,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
255,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
257,LG Nanocell - 139 cm (55 inch) & Ultra HD (4K) LED Smart TV,4.5,"₹1,66,990","₹84,999",49% off,"No Cost EMI from ₹4,723/month",107 Ratings & 16 Reviews
